Deal site category,major category,Minor category,description,photo
,Business and Services,Automotive,Automotive,1_automotive.gif
,Business and Services,Dry Cleaning,Dry Cleaning,2_drycleaning.gif
,Business and Services,Education,Education,3_education.gif
,Business and Services,Financial Services,Financial Services,4_financial_services.gif
,Business and Services,Fitness/Training,Fitness/Training,5_fitness_training.gif
,Business and Services,General Home Maintenance And Repair,General Home Maintenance And Repair,6_home_repair.gif
,Business and Services,Gov't Services,Gov't Services,7_govt_services.gif
,Business and Services,Home Services,Home Services,8_home_services.gif
,Business and Services,Landscaping,Landscaping,9_landscaping.gif
,Business and Services,Legal Services,Legal Services,10_legal_services.gif
,Business and Services,Photography,Photography,11_photography.gif
,Business and Services,Professional Services,Professional Services,12_professional_services.gif
,Business and Services,Public Services,Public Services,13_public_services.gif
,Business and Services,Real Estate,Real Estate,14_real_estate.gif
,Business and Services,Business And Services,Business And Services,01_aabusiness_and_services.png
,Business and Services,Religious Organizations,Religious Organizations,16_religious_organizations.gif
,Food and Beverage,American Restaurants,American Restaurants,17_american_restaurants.gif
,Food and Beverage,Bakeries,Bakeries,18_bakeries.gif
,Food and Beverage,Bars,Bars,19_bars.gif
,Food and Beverage,Fast Food,Fast Food,20_fast_food.gif
,Food and Beverage,Food And Beverage,Food And Beverage,17_afood_and_beverage.png
,Food and Beverage,Italian Restaurants,Italian Restaurants,22_italian_restaurants.gif
,Food and Beverage,Japanese Restaurants,Japanese Restaurants,23_japanese_restaurants.gif
,Food and Beverage,Mexican Restaurants,Mexican Restaurants,24_mexican_restaurants.gif
,Food and Beverage,Restaurants - General,Restaurants - General,25_restaurants_general.gif
,Lifestyle,Adventure,Adventure,26_adventure.gif
,Lifestyle,Arts,Arts,27_arts.gif
,Lifestyle,Dance,Dance,28_dance.gif
,Lifestyle,Facials,Facials,29_facial.gif
,Lifestyle,Fitness And Beauty,Fitness And Beauty,30_fitness.gif
,Lifestyle,Gyms,Gyms,31_gym.gif
,Lifestyle,Kids Activities,Kids Activities,32_kids_activities.gif
,Lifestyle,Life Skills,Life Skills,33_lifeskills.gif
,Lifestyle,Massages,Massages,34_massage.gif
,Lifestyle,Movies,Movies,35_movies.gif
,Lifestyle,Music,Music,36_music.gif
,Lifestyle,Nightlife (Ultra Lounges),Nightlife (Ultra Lounges),37_nightlife.gif
,Lifestyle,Shows,Shows,38_shows.gif
,Lifestyle,Spas,Spas,39_spa.gif
,Lifestyle,Tanning,Tanning,40_tanning.gif
,Lifestyle,Tattoos And Piercings,Tattoos And Piercings,41_tattoos_piercings.gif
,Lifestyle,Theater,Theater,42_theater.gif
,Lifestyle,Tours,Tours,43_tours.gif
,Lifestyle,Yoga,Yoga,44_yoga.gif
,Lifestyle,Camping,Camping,45_camping.gif
,Lifestyle,Fishing & Hunting,Fishing & Hunting,46_fishing_hunting.gif
,Lifestyle,Lifestyle,Lifestyle,26_aalifestyle.png
,Lifestyle,Pilates,Pilates,48_pilates.gif
,Shopping,Baby Stores,Baby Stores,49_baby_stores.gif
,Shopping,Electronics,Electronics,50_electronics.gif
,Shopping,Groceries,Groceries,51_grocery_stores.gif
,Shopping,Kids Stores,Kids Stores,52_kids_stores.gif
,Shopping,Men’s Clothing,Men’s Clothing,53_mens_clothing.gif
,Shopping,Pet Stores,Pet Stores,54_pet_stores.gif
,Shopping,Shoes,Shoes,55_shoes.gif
,Shopping,Specialty Stores,Specialty Stores,56_specialty_stores.gif
,Shopping,Women’s Clothing,Women’s Clothing,57_womens_clothing.gif
,Shopping,Accessories And/Or Handbags,Accessories And/Or Handbags,58_handbags_accessories.gif
,Shopping,Pharmacies,Pharmacies,59_pharmacies.gif
,Shopping,Shopping,Shopping,49_aashopping.png
,Shopping,Sporting Goods,Sporting Goods,61_sporting_goods.gif
,Travel,Car Rentals,Car Rentals,62_car_rental.gif
,Travel,Cruises,Cruises,63_cruises.gif
,Travel,Flights,Flights,64_flights.gif
,Travel,Hotel,Hotel,65_hotel.gif
,Travel,Travel,Travel,62_aatravel.png
,Travel,Vacation Packages,Vacation Packages,67_vacation_packages.gif
,Travel,Vacation Rentals,Vacation Rentals,68_vacation_rentals.gif
